"ISSN","Category"
"15487105","Biochemistry"
"15487105","Biotechnology"
"15487105","Cell Biology"
"15487105","Molecular Biology"
"14606976","Condensed Matter Physics"
"00018732","Condensed Matter Physics"
"27910091","Chemistry"
"27910091","Energy"
"27910091","Materials Science"
"27908119","Chemistry"
"27908119","Energy"
"27908119","Materials Science"
"10575987","Epidemiology"
"10575987","Health Information Management"
"10575987","Health"
"10575987","Health, Toxicology and Mutagenesis"
"10575987","Medicine"
"15458601","Epidemiology"
"15458601","Health Information Management"
"15458601","Health"
"15458601","Health, Toxicology and Mutagenesis"
"15458601","Medicine"
"19416520","Business and International Management"
"19416520","Organizational Behavior and Human Resource Management"
"19416067","Business and International Management"
"19416067","Organizational Behavior and Human Resource Management"
"17483387","Atomic and Molecular Physics, and Optics"
"17483387","Bioengineering"
"17483387","Biomedical Engineering"
"17483387","Condensed Matter Physics"
"17483387","Electrical and Electronic Engineering"
"17483387","Materials Science"
"17483387","Nanoscience and Nanotechnology"
"17483395","Atomic and Molecular Physics, and Optics"
"17483395","Bioengineering"
"17483395","Biomedical Engineering"
"17483395","Condensed Matter Physics"
"17483395","Electrical and Electronic Engineering"
"17483395","Materials Science"
"17483395","Nanoscience and Nanotechnology"
"14710056","Genetics"
"14710056","Genetics"
"14710056","Molecular Biology"
"14710064","Genetics"
"14710064","Genetics"
"14710064","Molecular Biology"
"14764660","Chemistry"
"14764660","Condensed Matter Physics"
"14764660","Materials Science"
"14764660","Mechanical Engineering"
"14764660","Mechanics of Materials"
"14761122","Chemistry"
"14761122","Condensed Matter Physics"
"14761122","Materials Science"
"14761122","Mechanical Engineering"
"14761122","Mechanics of Materials"
"00018392","Arts and Humanities"
"00018392","Public Administration"
"00018392","Sociology and Political Science"
"19303815","Arts and Humanities"
"19303815","Public Administration"
"19303815","Sociology and Political Science"
"15698041","Hematology"
"15698041","Medicine"
"15698041","Oncology"
"09237534","Hematology"
"09237534","Medicine"
"09237534","Oncology"
"15454282","Astronomy and Astrophysics"
"15454282","Space and Planetary Science"
"00664146","Astronomy and Astrophysics"
"00664146","Space and Planetary Science"
"0304405X","Accounting"
"0304405X","Economics and Econometrics"
"0304405X","Finance"
"0304405X","Strategy and Management"
"00346527","Economics and Econometrics"
"1467937X","Economics and Econometrics"
"10974180","Immunology"
"10974180","Immunology and Allergy"
"10974180","Infectious Diseases"
"10747613","Immunology"
"10747613","Immunology and Allergy"
"10747613","Infectious Diseases"
"25201158","Biochemistry"
"25201158","Bioengineering"
"25201158","Catalysis"
"25201158","Process Chemistry and Technology"
"01492195","Epidemiology"
"01492195","Health Information Management"
"01492195","Health"
"01492195","Health, Toxicology and Mutagenesis"
"01492195","Medicine"
"1545861X","Epidemiology"
"1545861X","Health Information Management"
"1545861X","Health"
"1545861X","Health, Toxicology and Mutagenesis"
"1545861X","Medicine"
"03060012","Chemistry"
"14604744","Chemistry"
"19457707","Economics, Econometrics and Finance"
"19457715","Economics, Econometrics and Finance"
"26628449","Biochemistry, Genetics and Molecular Biology"
"26628449","Medicine"
"20972431","Electrochemistry"
"20972431","Materials Chemistry"
"20972431","Renewable Energy, Sustainability and the Environment"
"26671417","Electrochemistry"
"26671417","Materials Chemistry"
"26671417","Renewable Energy, Sustainability and the Environment"
"15505499","Computer Vision and Pattern Recognition"
"15505499","Software"
"10976256","Neuroscience"
"15461726","Neuroscience"
"15734412","Economics and Econometrics"
"14702045","Oncology"
"14745488","Oncology"
"01406736","Medicine"
"1474547X","Medicine"
"10959203","History and Philosophy of Science"
"10959203","Multidisciplinary"
"00368075","History and Philosophy of Science"
"00368075","Multidisciplinary"
"26621347","Cancer Research"
"26621347","Oncology"
"15477185","Business and International Management"
"15477185","Economics and Econometrics"
"15477185","Marketing"
"00222429","Business and International Management"
"00222429","Economics and Econometrics"
"00222429","Marketing"
"15534006","Medicine"
"15534006","Pathology and Forensic Medicine"
"15534006","Plant Science"
"15534014","Medicine"
"15534014","Pathology and Forensic Medicine"
"15534014","Plant Science"
"25424351","Energy"
"25201131","Electrical and Electronic Engineering"
"25201131","Electronic, Optical and Magnetic Materials"
"25201131","Instrumentation"
"23973358","Chemical Engineering"
"23973358","Chemistry"
"15504131","Cell Biology"
"15504131","Molecular Biology"
"15504131","Physiology"
"19327420","Cell Biology"
"19327420","Molecular Biology"
"19327420","Physiology"
"15292908","Immunology"
"15292908","Immunology and Allergy"
"15292916","Immunology"
"15292916","Immunology and Allergy"
"17494885","Atomic and Molecular Physics, and Optics"
"17494885","Electronic, Optical and Magnetic Materials"
"00220515","Economics and Econometrics"
"17545692","Environmental Chemistry"
"17545692","Nuclear Energy and Engineering"
"17545692","Pollution"
"17545692","Renewable Energy, Sustainability and the Environment"
"17545706","Environmental Chemistry"
"17545706","Nuclear Energy and Engineering"
"17545706","Pollution"
"17545706","Renewable Energy, Sustainability and the Environment"
"15221210","Medicine"
"15221210","Molecular Biology"
"15221210","Physiology"
"15221210","Physiology"
"00319333","Medicine"
"00319333","Molecular Biology"
"00319333","Physiology"
"00319333","Physiology"
"15277755","Cancer Research"
"15277755","Medicine"
"15277755","Oncology"
"0732183X","Cancer Research"
"0732183X","Medicine"
"0732183X","Oncology"
"03637425","Business, Management and Accounting"
"03637425","Management of Technology and Innovation"
"03637425","Strategy and Management"
"10636919","Computer Vision and Pattern Recognition"
"10636919","Software"
"15458636","Epidemiology"
"15458636","Health Information Management"
"15458636","Health"
"15458636","Health, Toxicology and Mutagenesis"
"15460738","Epidemiology"
"15460738","Health Information Management"
"15460738","Health"
"15460738","Health, Toxicology and Mutagenesis"
"19345909","Cell Biology"
"19345909","Genetics"
"19345909","Molecular Medicine"
"18759777","Cell Biology"
"18759777","Genetics"
"18759777","Molecular Medicine"
"22138595","Endocrinology"
"22138595","Endocrinology, Diabetes and Metabolism"
"22138595","Internal Medicine"
"22138587","Endocrinology"
"22138587","Endocrinology, Diabetes and Metabolism"
"22138587","Internal Medicine"
"2056676X","Medicine"
"14338351","Physics and Astronomy"
"23673613","Physics and Astronomy"
"21600031","Psychology"
"15291006","Psychology"
"16000641","Hepatology"
"01688278","Hepatology"
"19475454","Condensed Matter Physics"
"19475454","Materials Science"
"19475462","Condensed Matter Physics"
"19475462","Materials Science"
"15454509","Biochemistry"
"00664154","Biochemistry"
"17595045","Gastroenterology"
"17595045","Hepatology"
"17595053","Gastroenterology"
"17595053","Hepatology"
"09354956","Astronomy and Astrophysics"
"09354956","Space and Planetary Science"
"14320754","Astronomy and Astrophysics"
"14320754","Space and Planetary Science"
"17401534","Immunology and Microbiology"
"17401534","Infectious Diseases"
"17401534","Microbiology"
"17401526","Immunology and Microbiology"
"17401526","Infectious Diseases"
"17401526","Microbiology"
"2662138X","Atmospheric Science"
"2662138X","Earth-Surface Processes"
"2662138X","Nature and Landscape Conservation"
"2662138X","Pollution"
"17487838","Cell Biology"
"17487838","Molecular Biology"
"10010602","Cell Biology"
"10010602","Molecular Biology"
"00664308","Psychology"
"15452085","Psychology"
"24682667","Public Health, Environmental and Occupational Health"
"10974164","Cell Biology"
"10974164","Molecular Biology"
"10972765","Cell Biology"
"10972765","Molecular Biology"
"09359648","Materials Science"
"09359648","Mechanical Engineering"
"09359648","Mechanics of Materials"
"09359648","Nanoscience and Nanotechnology"
"15214095","Materials Science"
"15214095","Mechanical Engineering"
"15214095","Mechanics of Materials"
"15214095","Nanoscience and Nanotechnology"
"03044076","Economics and Econometrics"
"18726895","Economics and Econometrics"
"19394616","Artificial Intelligence"
"19394608","Artificial Intelligence"
"24681253","Gastroenterology"
"24681253","Hepatology"
"19457790","Economics, Econometrics and Finance"
"19457782","Economics, Econometrics and Finance"
"19411383","Economics and Econometrics"
"19411391","Economics and Econometrics"
"14740508","Mathematics"
"14740508","Numerical Analysis"
"09624929","Mathematics"
"09624929","Numerical Analysis"
"14764679","Cell Biology"
"14657392","Cell Biology"
"19449208","Geophysics"
"87551209","Geophysics"
"2666979X","Biochemistry, Genetics and Molecular Biology"
"2666979X","Genetics"
"15583597","Cardiology and Cardiovascular Medicine"
"07351097","Cardiology and Cardiovascular Medicine"
"24709468","Immunology"
"24709468","Immunology and Allergy"
"15454479","Condensed Matter Physics"
"00664189","Condensed Matter Physics"
"16146832","Materials Science"
"16146832","Renewable Energy, Sustainability and the Environment"
"16146840","Materials Science"
"16146840","Renewable Energy, Sustainability and the Environment"
"20593635","Cancer Research"
"20593635","Genetics"
"20959907","Cancer Research"
"20959907","Genetics"
"19438206","Atomic and Molecular Physics, and Optics"
"19438206","Water Science and Technology"
"07338716","Computer Networks and Communications"
"07338716","Electrical and Electronic Engineering"
"0147006X","Neuroscience"
"15454126","Neuroscience"
"26628643","Atomic and Molecular Physics, and Optics"
"26628643","Electronic, Optical and Magnetic Materials"
"20971710","Atomic and Molecular Physics, and Optics"
"20971710","Electronic, Optical and Magnetic Materials"
"14744465","Neurology"
"14744422","Neurology"
"00097322","Cardiology and Cardiovascular Medicine"
"00097322","Physiology"
"15244539","Cardiology and Cardiovascular Medicine"
"15244539","Physiology"
"00332909","History and Philosophy of Science"
"00332909","Psychology"
"19391455","History and Philosophy of Science"
"19391455","Psychology"
"17595010","Cardiology and Cardiovascular Medicine"
"17595002","Cardiology and Cardiovascular Medicine"
"01654101","Accounting"
"01654101","Economics and Econometrics"
"01654101","Finance"
"00014273","Business and International Management"
"00014273","Business, Management and Accounting"
"00014273","Management of Technology and Innovation"
"00014273","Strategy and Management"
"17452473","Physics and Astronomy"
"14764598","Cancer Research"
"14764598","Molecular Medicine"
"14764598","Oncology"
"26666510","Artificial Intelligence"
"26666510","Computer Science Applications"
"26666510","Computer Vision and Pattern Recognition"
"26666510","Human-Computer Interaction"
"26666510","Information Systems"
"26666510","Software"
"14683288","Gastroenterology"
"00175749","Gastroenterology"
"15672409","Economics and Econometrics"
"15672409","Finance"
"15672395","Economics and Econometrics"
"15672395","Finance"
"19354185","Computer Networks and Communications"
"19354185","Hardware and Architecture"
"19354185","Software"
"20585276","Applied Microbiology and Biotechnology"
"20585276","Cell Biology"
"20585276","Genetics"
"20585276","Immunology"
"20585276","Microbiology"
"20585276","Microbiology"
"22132619","Pulmonary and Respiratory Medicine"
"22132600","Pulmonary and Respiratory Medicine"
"2157846X","Bioengineering"
"2157846X","Biomedical Engineering"
"2157846X","Biotechnology"
"2157846X","Computer Science Applications"
"2157846X","Medicine"
"19457189","Endocrinology"
"19457189","Endocrinology, Diabetes and Metabolism"
"0163769X","Endocrinology"
"0163769X","Endocrinology, Diabetes and Metabolism"
"15561380","Medicine"
"15561380","Oncology"
"15561380","Pulmonary and Respiratory Medicine"
"15560864","Medicine"
"15560864","Oncology"
"15560864","Pulmonary and Respiratory Medicine"
"14710048","Neuroscience"
"1471003X","Neuroscience"
"23742445","Cancer Research"
"23742445","Oncology"
"23742437","Cancer Research"
"23742437","Oncology"
"25225820","Physics and Astronomy"
"22150374","Biological Psychiatry"
"22150374","Psychiatry and Mental Health"
"22150366","Biological Psychiatry"
"22150366","Psychiatry and Mental Health"
"10970266","Business and International Management"
"10970266","Strategy and Management"
"01432095","Business and International Management"
"01432095","Strategy and Management"
"18732208","Materials Science"
"00796425","Materials Science"
"1573692X","Accounting"
"1573692X","Economics and Econometrics"
"1573692X","Finance"
"15723097","Accounting"
"15723097","Economics and Econometrics"
"15723097","Finance"
"15577368","Computer Graphics and Computer-Aided Design"
"07300301","Computer Graphics and Computer-Aided Design"
"19346069","Cancer Research"
"19346069","Immunology and Microbiology"
"19346069","Microbiology"
"19346069","Molecular Biology"
"19346069","Parasitology"
"19346069","Virology"
"19313128","Cancer Research"
"19313128","Immunology and Microbiology"
"19313128","Microbiology"
"19313128","Molecular Biology"
"19313128","Parasitology"
"19313128","Virology"
"10974199","Neuroscience"
"08966273","Neuroscience"
"17586798","Environmental Science"
"17586798","Social Sciences"
"1758678X","Environmental Science"
"1758678X","Social Sciences"
"23270608","Applied Psychology"
"23270608","Organizational Behavior and Human Resource Management"
"23270608","Social Psychology"
"15452123","Cell Biology"
"15452123","Molecular Biology"
"15452123","Physiology"
"15452123","Plant Science"
"15435008","Cell Biology"
"15435008","Molecular Biology"
"15435008","Physiology"
"15435008","Plant Science"
"00346535","Economics and Econometrics"
"00346535","Social Sciences"
"15309142","Economics and Econometrics"
"15309142","Social Sciences"
"01492063","Finance"
"01492063","Strategy and Management"
"15571211","Finance"
"15571211","Strategy and Management"
"21598274","Oncology"
"21598290","Oncology"
"17568722","Cancer Research"
"17568722","Hematology"
"17568722","Molecular Biology"
"17568722","Oncology"
"08953309","Economics and Econometrics"
"16144961","Astronomy and Astrophysics"
"16144961","Space and Planetary Science"
"23673648","Astronomy and Astrophysics"
"23673648","Space and Planetary Science"
"17542189","Biochemistry, Genetics and Molecular Biology"
"15452948","Genetics"
"00664197","Genetics"
"23989629","Ecology"
"23989629","Food Science"
"23989629","Geography, Planning and Development"
"23989629","Global and Planetary Change"
"23989629","Management, Monitoring, Policy and Law"
"23989629","Nature and Landscape Conservation"
"23989629","Renewable Energy, Sustainability and the Environment"
"23989629","Urban Studies"
"15280012","Gastroenterology"
"15280012","Hepatology"
"00165085","Gastroenterology"
"00165085","Hepatology"
"15485951","Clinical Psychology"
"15485951","Medicine"
"15485951","Psychiatry and Mental Health"
"15485943","Clinical Psychology"
"15485943","Medicine"
"15485943","Psychiatry and Mental Health"
"25897500","Decision Sciences"
"25897500","Health Informatics"
"25897500","Health Information Management"
"25897500","Medicine"
"17595037","Endocrinology"
"17595037","Endocrinology, Diabetes and Metabolism"
"17595029","Endocrinology"
"17595029","Endocrinology, Diabetes and Metabolism"
"26666758","Multidisciplinary"
"23808195","Chemistry"
"23808195","Energy Engineering and Power Technology"
"23808195","Fuel Technology"
"23808195","Materials Chemistry"
"23808195","Renewable Energy, Sustainability and the Environment"
"14747596","Cell Biology"
"14747596","Ecology, Evolution, Behavior and Systematics"
"14747596","Genetics"
"00920703","Business and International Management"
"00920703","Economics and Econometrics"
"00920703","Marketing"
"15527824","Business and International Management"
"15527824","Economics and Econometrics"
"15527824","Marketing"
"25225812","Cell Biology"
"25225812","Endocrinology, Diabetes and Metabolism"
"25225812","Internal Medicine"
"25225812","Physiology"
"0003486X","Mathematics"
"0003486X","Statistics and Probability"
"0003486X","Statistics, Probability and Uncertainty"
"15459993","Molecular Biology"
"15459993","Structural Biology"
"15459985","Molecular Biology"
"15459985","Structural Biology"
"16181913","Mathematics"
"00738301","Mathematics"
"03051048","Genetics"
"13624962","Genetics"
"17554330","Chemical Engineering"
"17554330","Chemistry"
"17554349","Chemical Engineering"
"17554349","Chemistry"
"18737560","Urology"
"03022838","Urology"
"00664278","Physiology"
"15451585","Physiology"
"00221007","Immunology"
"00221007","Immunology and Allergy"
"00221007","Medicine"
"15409538","Immunology"
"15409538","Immunology and Allergy"
"15409538","Medicine"
"0927796X","Condensed Matter Physics"
"0927796X","Materials Science"
"0927796X","Mechanical Engineering"
"0927796X","Mechanics of Materials"
"25208136","Chemical Engineering"
"25208136","Electrochemistry"
"25208136","Energy Engineering and Power Technology"
"25208136","Materials Science"
"25208489","Chemical Engineering"
"25208489","Electrochemistry"
"25208489","Energy Engineering and Power Technology"
"25208489","Materials Science"
"15602745","Ecology"
"15602745","Ecology, Evolution, Behavior and Systematics"
"15602745","Plant Science"
"18789129","Ecology"
"18789129","Ecology, Evolution, Behavior and Systematics"
"18789129","Plant Science"
"08938512","Epidemiology"
"08938512","Immunology and Microbiology"
"08938512","Infectious Diseases"
"08938512","Microbiology"
"08938512","Public Health, Environmental and Occupational Health"
"10986618","Epidemiology"
"10986618","Immunology and Microbiology"
"10986618","Infectious Diseases"
"10986618","Microbiology"
"10986618","Public Health, Environmental and Occupational Health"
"15527425","Decision Sciences"
"15527425","Management of Technology and Innovation"
"15527425","Strategy and Management"
"10944281","Decision Sciences"
"10944281","Management of Technology and Innovation"
"10944281","Strategy and Management"
"09205691","Artificial Intelligence"
"09205691","Computer Vision and Pattern Recognition"
"09205691","Software"
"15731405","Artificial Intelligence"
"15731405","Computer Vision and Pattern Recognition"
"15731405","Software"
"15424774","Economics, Econometrics and Finance"
"15424766","Economics, Econometrics and Finance"
"1475679X","Accounting"
"1475679X","Economics and Econometrics"
"1475679X","Finance"
"00218456","Accounting"
"00218456","Economics and Econometrics"
"00218456","Finance"
"24709476","Artificial Intelligence"
"24709476","Computer Science Applications"
"24709476","Control and Optimization"
"24709476","Mechanical Engineering"
"03043932","Economics and Econometrics"
"03043932","Finance"
"24519308","Biochemistry"
"24519308","Biochemistry"
"24519308","Chemical Engineering"
"24519308","Chemistry"
"24519308","Environmental Chemistry"
"24519308","Materials Chemistry"
"24519294","Biochemistry"
"24519294","Biochemistry"
"24519294","Chemical Engineering"
"24519294","Chemistry"
"24519294","Environmental Chemistry"
"24519294","Materials Chemistry"
"19457731","Economics, Econometrics and Finance"
"1945774X","Economics, Econometrics and Finance"
"19466234","Medicine"
"19466242","Medicine"
"23116706","Electrical and Electronic Engineering"
"23116706","Electronic, Optical and Magnetic Materials"
"23116706","Nanoscience and Nanotechnology"
"23116706","Surfaces, Coatings and Films"
"21505551","Electrical and Electronic Engineering"
"21505551","Electronic, Optical and Magnetic Materials"
"21505551","Nanoscience and Nanotechnology"
"21505551","Surfaces, Coatings and Films"
"15308995","Cell Biology"
"15308995","Developmental Biology"
"10810706","Cell Biology"
"10810706","Developmental Biology"
"19391854","Applied Psychology"
"00219010","Applied Psychology"
"03701573","Physics and Astronomy"
"10886834","Applied Mathematics"
"10886834","Mathematics"
"08940347","Applied Mathematics"
"08940347","Mathematics"
"15228517","Cancer Research"
"15228517","Neurology"
"15228517","Oncology"
"15235866","Cancer Research"
"15235866","Neurology"
"15235866","Oncology"
"14744457","Infectious Diseases"
"14733099","Infectious Diseases"
"20459920","Economics and Econometrics"
"20459920","Finance"
"20459939","Economics and Econometrics"
"20459939","Finance"
"03600300","Computer Science"
"03600300","Theoretical Computer Science"
"15577341","Computer Science"
"15577341","Theoretical Computer Science"
"25152459","Psychology"
"25152467","Psychology"
"21686238","Medicine"
"21686238","Psychiatry and Mental Health"
"2168622X","Medicine"
"2168622X","Psychiatry and Mental Health"
"17594766","Cellular and Molecular Neuroscience"
"17594766","Neurology"
"17594758","Cellular and Molecular Neuroscience"
"17594758","Neurology"
"14321238","Critical Care and Intensive Care Medicine"
"03424642","Critical Care and Intensive Care Medicine"
"23806583","Cardiology and Cardiovascular Medicine"
"23806591","Cardiology and Cardiovascular Medicine"
"2214109X","Medicine"
"00796700","Ceramics and Composites"
"00796700","Materials Chemistry"
"00796700","Organic Chemistry"
"00796700","Polymers and Plastics"
"00796700","Surfaces and Interfaces"
"2772834X","Catalysis"
"2772834X","Ceramics and Composites"
"2772834X","Energy"
"2772834X","Materials Science"
"2772834X","Metals and Alloys"
"2772834X","Surfaces, Coatings and Films"
"21686157","Neurology"
"21686149","Neurology"
"01628828","Applied Mathematics"
"01628828","Artificial Intelligence"
"01628828","Computational Theory and Mathematics"
"01628828","Computer Vision and Pattern Recognition"
"01628828","Software"
"00318108","Philosophy"
"00034967","Biochemistry, Genetics and Molecular Biology"
"00034967","Immunology"
"00034967","Immunology and Allergy"
"00034967","Rheumatology"
"14682060","Biochemistry, Genetics and Molecular Biology"
"14682060","Immunology"
"14682060","Immunology and Allergy"
"14682060","Rheumatology"
"03601285","Chemical Engineering"
"03601285","Energy Engineering and Power Technology"
"03601285","Fuel Technology"
"23973374","Behavioral Neuroscience"
"23973374","Experimental and Cognitive Psychology"
"23973374","Social Psychology"
"15582256","Computer Science"
"15582256","Electrical and Electronic Engineering"
"00189219","Computer Science"
"00189219","Electrical and Electronic Engineering"
"0734306X","Economics and Econometrics"
"0734306X","Industrial Relations"
"15375307","Economics and Econometrics"
"15375307","Industrial Relations"
"19328346","Signal Processing"
"19328354","Signal Processing"
"15210081","Molecular Medicine"
"15210081","Pharmacology"
"00316997","Molecular Medicine"
"00316997","Pharmacology"
"09628924","Cell Biology"
"18793088","Cell Biology"
"00222437","Business and International Management"
"00222437","Economics and Econometrics"
"00222437","Marketing"
"15477193","Business and International Management"
"15477193","Economics and Econometrics"
"15477193","Marketing"
"16742052","Molecular Biology"
"16742052","Plant Science"
"17529867","Molecular Biology"
"17529867","Plant Science"
"13697021","Condensed Matter Physics"
"13697021","Materials Science"
"13697021","Mechanical Engineering"
"13697021","Mechanics of Materials"
"18734103","Condensed Matter Physics"
"18734103","Materials Science"
"18734103","Mechanical Engineering"
"18734103","Mechanics of Materials"
"00014842","Chemistry"
"00014842","Medicine"
"15204898","Chemistry"
"15204898","Medicine"
"25225839","Artificial Intelligence"
"25225839","Computer Networks and Communications"
"25225839","Computer Vision and Pattern Recognition"
"25225839","Human-Computer Interaction"
"25225839","Software"
"1759507X","Nephrology"
"17595061","Nephrology"
"15383598","Medicine"
"00987484","Medicine"
"15361284","Computer Science Applications"
"15361284","Electrical and Electronic Engineering"
"13509462","Ophthalmology"
"13509462","Sensory Systems"
"18731635","Ophthalmology"
"18731635","Sensory Systems"
"13889842","Cardiology and Cardiovascular Medicine"
"18790844","Cardiology and Cardiovascular Medicine"
"00664170","Ecology, Evolution, Behavior and Systematics"
"00664170","Insect Science"
"15454487","Ecology, Evolution, Behavior and Systematics"
"15454487","Insect Science"
"21603308","Physics and Astronomy"
"17520908","Earth and Planetary Sciences"
"17520894","Earth and Planetary Sciences"
"15345807","Biochemistry, Genetics and Molecular Biology"
"15345807","Cell Biology"
"15345807","Developmental Biology"
"15345807","Molecular Biology"
"18781551","Biochemistry, Genetics and Molecular Biology"
"18781551","Cell Biology"
"18781551","Developmental Biology"
"18781551","Molecular Biology"
"10942939","Sociology and Political Science"
"15451577","Sociology and Political Science"
"10422587","Business and International Management"
"10422587","Economics and Econometrics"
"15406520","Business and International Management"
"15406520","Economics and Econometrics"
"02684012","Artificial Intelligence"
"02684012","Computer Networks and Communications"
"02684012","Information Systems"
"02684012","Information Systems and Management"
"02684012","Library and Information Sciences"
"02684012","Management Information Systems"
"02684012","Marketing"
"00346543","Education"
"19351046","Education"
"22131787","Cardiology and Cardiovascular Medicine"
"22131779","Cardiology and Cardiovascular Medicine"
"26628465","Aging"
"26628465","Geriatrics and Gerontology"
"26628465","Neuroscience"
"19355548","Advanced and Specialized Nursing"
"19355548","Endocrinology, Diabetes and Metabolism"
"19355548","Internal Medicine"
"01495992","Advanced and Specialized Nursing"
"01495992","Endocrinology, Diabetes and Metabolism"
"01495992","Internal Medicine"
"25673165","Electronic, Optical and Magnetic Materials"
"25673165","Materials Chemistry"
"25673165","Materials Science"
"25673165","Surfaces, Coatings and Films"
"18737811","Clinical Psychology"
"18737811","Psychiatry and Mental Health"
"02727358","Clinical Psychology"
"02727358","Psychiatry and Mental Health"
"18726305","Hardware and Architecture"
"18726305","Information Systems"
"18726305","Signal Processing"
"18726305","Software"
"15662535","Hardware and Architecture"
"15662535","Information Systems"
"15662535","Signal Processing"
"15662535","Software"
"07322399","Business and International Management"
"07322399","Economics and Econometrics"
"07322399","Marketing"
"1526548X","Business and International Management"
"1526548X","Economics and Econometrics"
"1526548X","Marketing"
"21682275","Computer Science Applications"
"21682275","Control and Systems Engineering"
"21682275","Electrical and Electronic Engineering"
"21682275","Human-Computer Interaction"
"21682275","Information Systems"
"21682275","Software"
"21682267","Computer Science Applications"
"21682267","Control and Systems Engineering"
"21682267","Electrical and Electronic Engineering"
"21682267","Human-Computer Interaction"
"21682267","Information Systems"
"21682267","Software"
"15265455","Management of Technology and Innovation"
"15265455","Organizational Behavior and Human Resource Management"
"15265455","Strategy and Management"
"10477039","Management of Technology and Innovation"
"10477039","Organizational Behavior and Human Resource Management"
"10477039","Strategy and Management"
"01636804","Computer Networks and Communications"
"01636804","Computer Science Applications"
"01636804","Electrical and Electronic Engineering"
"19414927","Medicine"
"19414935","Medicine"
"17456916","Psychology"
"17456924","Psychology"
"19361238","Biochemistry"
"19361238","Bioengineering"
"19361238","Biophysics"
"19361238","Cell Biology"
"19361238","Structural Biology"
"1936122X","Biochemistry"
"1936122X","Bioengineering"
"1936122X","Biophysics"
"1936122X","Cell Biology"
"1936122X","Structural Biology"
"15524469","Cell Biology"
"15524469","Molecular Biology"
"15524450","Cell Biology"
"15524450","Molecular Biology"
"27310574","Clinical Psychology"
"27310574","Developmental and Educational Psychology"
"27310574","Psychology"
"15452050","Environmental Science"
"15435938","Environmental Science"
"1616301X","Biomaterials"
"1616301X","Chemistry"
"1616301X","Condensed Matter Physics"
"1616301X","Electrochemistry"
