"Authors","Author full names","Author(s) ID","Title","Year","Source title","DOI","Link","Affiliations","Authors with affiliations","Author Keywords","Index Keywords","Editors","Publisher","ISSN","ISBN","CODEN","PubMed ID","Language of Original Document","Document Type","Open Access","Source","EID"
"Jarar Oulidi H.; Hajji R.","Jarar Oulidi, Hassane (57194679033); Hajji, Rafika (57214068561)","57194679033; 57214068561","Open BIM standards","2021","Building Information Modeling for a Smart and Sustainable Urban Space","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148142659&partnerID=40&md5=560a04a2eda3f3608fb74a73b57cc3c3","Geomatic Sciences, EHTP, Casablanca, Morocco; Geomatic Sciences and Topographic Engineering, IAV Hassan II, Rabat, Morocco","Jarar Oulidi H., Geomatic Sciences, EHTP, Casablanca, Morocco; Hajji R., Geomatic Sciences and Topographic Engineering, IAV Hassan II, Rabat, Morocco","Building information modeling; Building SMART organization; Digital dictionary registry; Geographic information systems; Industry foundation class data storage; Information dissemination manual; Landinfra; Model view definition","","","Wiley Blackwell","","978-111988547-4; 978-111988546-7","","","English","Book chapter","","Scopus","2-s2.0-85148142659"
"Boudad L.; Taibi M.; Belayachi A.; Abd-Lefdil M.","Boudad, L. (57209730287); Taibi, M. (7003906104); Belayachi, A. (6602828751); Abd-Lefdil, M. (59210691600)","57209730287; 7003906104; 6602828751; 59210691600","Structural, morphological, dielectric and optical properties of double perovskites RBaFeTiO6(R = La, Eu)","2021","RSC Advances","10.1039/d1ra06793a","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121848127&doi=10.1039%2fd1ra06793a&partnerID=40&md5=a3559e33f4fad439eb1bed9f433f8bbb","Mohammed V University in Rabat, Laboratory of Physics and Chemistry of Inorganic and Organic Materials (LPCMIO), Materials Science Research Center (CSM), Ecole Normale Supérieure, Rabat, Morocco; Mohammed V University in Rabat, Faculty of Sciences, MANAPSE, Rabat, Morocco","Boudad L., Mohammed V University in Rabat, Laboratory of Physics and Chemistry of Inorganic and Organic Materials (LPCMIO), Materials Science Research Center (CSM), Ecole Normale Supérieure, Rabat, Morocco; Taibi M., Mohammed V University in Rabat, Laboratory of Physics and Chemistry of Inorganic and Organic Materials (LPCMIO), Materials Science Research Center (CSM), Ecole Normale Supérieure, Rabat, Morocco; Belayachi A., Mohammed V University in Rabat, Faculty of Sciences, MANAPSE, Rabat, Morocco; Abd-Lefdil M., Mohammed V University in Rabat, Faculty of Sciences, MANAPSE, Rabat, Morocco","","Energy dispersive spectroscopy; Energy gap; Fourier transform infrared spectroscopy; Optical properties; Perovskite; Scanning electron microscopy; Solid state reactions; Crystalline structure; Dielectric and optical properties; Double perovskite structures; Double perovskites; Elemental compositions; Energy dispersive X ray spectroscopy; Lattice strain; Solid state reaction route; Structural refinement; Synthesised; Crystallite size","","Royal Society of Chemistry","20462069","","RSCAC","","English","Article","All Open Access; Gold Open Access","Scopus","2-s2.0-85121848127"
"Karas I.R.; Ben Ahmed M.; Boudhir A.A.; Ane B.K.","Karas, I.R. (37074847400); Ben Ahmed, M. (58726329800); Boudhir, A.A. (35195309000); Ane, B.K. (6505670128)","37074847400; 58726329800; 35195309000; 6505670128","The sixth international conference on smart city applications: Preface","2021","International Archives of the Photogrammetry, Remote Sensing and Spatial Information Sciences - ISPRS Archives","10.5194/isprs-Archives-XLVI-4-W5-2021-1-2021","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122292489&doi=10.5194%2fisprs-Archives-XLVI-4-W5-2021-1-2021&partnerID=40&md5=675f79a8b2d8453eb3b77b464b874bd8","Computer Engineering Department, Karabuk University, Turkey; Faculte des Sciences et Techniques, Abdelmalek Essaadi University, Tangier, Morocco; Institute of Computer-Aided Product Development Systems, University of Stuttgart, Germany","Karas I.R., Computer Engineering Department, Karabuk University, Turkey; Ben Ahmed M., Faculte des Sciences et Techniques, Abdelmalek Essaadi University, Tangier, Morocco; Boudhir A.A., Faculte des Sciences et Techniques, Abdelmalek Essaadi University, Tangier, Morocco; Ane B.K., Institute of Computer-Aided Product Development Systems, University of Stuttgart, Germany","","","Karas I.R.; Ben Ahmed M.; Boudhir A.A.; Ane B.K.","International Society for Photogrammetry and Remote Sensing","16821750","","","","English","Editorial","All Open Access; Gold Open Access","Scopus","2-s2.0-85122292489"
"Roy A.","Roy, Amit (57795229700)","57795229700","Enhancing fertilizer use efficiency by managing soil health emerging trends","2021","Soil Organic Matter and Feeding the Future: Environmental and Agronomic Impacts","10.1201/9781003102762-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85133918105&doi=10.1201%2f9781003102762-1&partnerID=40&md5=5be3d986feff59af1801dc43fcf602a1","The Global Phosphorus Institute, Morocco","Roy A., The Global Phosphorus Institute, Morocco","","","","CRC Press","","978-100310276-2; 978-036760970-2","","","English","Book chapter","","Scopus","2-s2.0-85133918105"
"Moufid O.","Moufid, Oumayma (58104472800)","58104472800","BIM for the renovation of urban spaces","2021","Building Information Modeling for a Smart and Sustainable Urban Space","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148118376&partnerID=40&md5=79bc75474e143b59c2cefec4f03863d2","EHTP, Casablanca, Morocco","Moufid O., EHTP, Casablanca, Morocco","3D digital modeling; BIM; CIM; Urban renewal programs; Urban spaces","","","Wiley Blackwell","","978-111988547-4; 978-111988546-7","","","English","Book chapter","","Scopus","2-s2.0-85148118376"
"Moulad L.; Chaabita R.; Balar K.","Moulad, L. (57202156500); Chaabita, R. (57397628300); Balar, K. (57508783300)","57202156500; 57397628300; 57508783300","WIRELESS SENSOR NETWORK: Towards AN IMPROVEMENT of SECURITY POLICY","2021","International Archives of the Photogrammetry, Remote Sensing and Spatial Information Sciences - ISPRS Archives","10.5194/isprs-Archives-XLVI-4-W5-2021-379-2021","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122292760&doi=10.5194%2fisprs-Archives-XLVI-4-W5-2021-379-2021&partnerID=40&md5=9676c19a4d7d6b03c51b791dc6c09c99","Hassan II University/ FSJES AC, Casablanca, Morocco","Moulad L., Hassan II University/ FSJES AC, Casablanca, Morocco; Chaabita R., Hassan II University/ FSJES AC, Casablanca, Morocco; Balar K., Hassan II University/ FSJES AC, Casablanca, Morocco","asymmetric key; key management; LEAP; LEAP Enhanced; power consumption; symmetric key; Wireless Network; WSN","Base stations; Mobile ad hoc networks; Mobile security; Network security; Sensor nodes; Ad-hoc networks; Asymmetric key; Autonomous networks; Key-management; LEAP; LEAP enhanced; MANET's; Mobile ad-hoc networks; Symmetric keys; WSN; Electric power utilization","Karas I.R.; Ben Ahmed M.; Boudhir A.A.; Ane B.K.","International Society for Photogrammetry and Remote Sensing","16821750","","","","English","Conference paper","All Open Access; Gold Open Access","Scopus","2-s2.0-85122292760"
"Hajji R.; Jarar Oulidi H.","Hajji, Rafika (57214068561); Jarar Oulidi, Hassane (57194679033)","57214068561; 57194679033","Conclusion","2021","Building Information Modeling for a Smart and Sustainable Urban Space","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148129329&partnerID=40&md5=68e62cd61cdb81dcb5a78d99c94c3569","Geomatic Sciences and Topographic Engineering, IAV Hassan II, Rabat, Morocco; Geomatic Sciences, EHTP, Casablanca, Morocco","Hajji R., Geomatic Sciences and Topographic Engineering, IAV Hassan II, Rabat, Morocco; Jarar Oulidi H., Geomatic Sciences, EHTP, Casablanca, Morocco","","","","Wiley Blackwell","","978-111988547-4; 978-111988546-7","","","English","Book chapter","","Scopus","2-s2.0-85148129329"
"Mohamed Abdoul-Latif F.; Ainane A.; Houmed Aboubaker I.; Mohamed Ahmed N.; Ainane T.","Mohamed Abdoul-Latif, Fatouma (57221648003); Ainane, Ayoub (56480346800); Houmed Aboubaker, Ibrahim (57410311400); Mohamed Ahmed, Nabil (57410892900); Ainane, Tarik (35191638700)","57221648003; 56480346800; 57410311400; 57410892900; 35191638700","REVIEW OF NUTRITIONAL AND PHARMACOLOGICAL STUDY OF PATIENTS INFECTED WITH COVID-19 VIRUS: CHALLENGE AND PERSPECTIVE","2021","Pharmacologyonline","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123186180&partnerID=40&md5=39eb59f8e506ad1d17022fb9906e24b8","Medicinal Research Institute, Center for Research and Study of Djibouti, BP 486, Djibouti; Superior School of Technology of Khenifra (EST-Khenifra), University of Sultan Moulay Slimane, BP 170, Khenifra, 54000, Morocco; Peltier hospital of Djibouti, BP 2123, Djibouti","Mohamed Abdoul-Latif F., Medicinal Research Institute, Center for Research and Study of Djibouti, BP 486, Djibouti; Ainane A., Superior School of Technology of Khenifra (EST-Khenifra), University of Sultan Moulay Slimane, BP 170, Khenifra, 54000, Morocco; Houmed Aboubaker I., Peltier hospital of Djibouti, BP 2123, Djibouti; Mohamed Ahmed N., Medicinal Research Institute, Center for Research and Study of Djibouti, BP 486, Djibouti; Ainane T., Superior School of Technology of Khenifra (EST-Khenifra), University of Sultan Moulay Slimane, BP 170, Khenifra, 54000, Morocco","Covid-19; Healthy diet; Immunity; Infectious diseases; Nutrition","alpha tocopherol; arginine; ascorbic acid; cobalamin; copper; ergocalciferol; folic acid; glutamine; iron; magnesium; omega 3 fatty acid; polyphenol; pyridoxine; retinol; selenium; trace element; vitamin B group; zinc; adaptive immunity; Article; cellular immunity; coronavirus disease 2019; human; humoral immunity; immune system; innate immunity; macronutrient; malnutrition; nutritional assessment","","SILAE (Italo-Latin American Society of Ethnomedicine)","18278620","","","","English","Article","","Scopus","2-s2.0-85123186180"
"Laghzaoui E.-M.; Amahmid O.; Abbad A.; El Mouden E.H.","Laghzaoui, El-Mustapha (57203986182); Amahmid, Omar (6508271333); Abbad, Abdelaziz (6506248688); El Mouden, El Hassan (57217025892)","57203986182; 6508271333; 6506248688; 57217025892","Prevalence and intensity of gastrointestinal parasites in the vulnerable spur-thighed tortoise (Testudo graeca) from the central-western of Morocco","2021","Basic and Applied Herpetology","10.11160/bah.194","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127511035&doi=10.11160%2fbah.194&partnerID=40&md5=1d5683943a7fd89d9f2bdb66541e3e6a","Laboratory of Water, Biodiversity and Climatic Change, Faculty of Sciences, Cadi Ayyad University, Semlalia, Marrakech, Morocco; Department of Life and Earth Sciences, Biology and Geology Research Units, Regional Centre for Careers in Education and Training CRMEF-Marrakech, Marrakech, 40 000, Morocco; Laboratory of Microbial Biotechnologies, Agrosciences and Environment, Faculty of Sciences Semlalia, Cadi Ayyad University, Marrakech, Morocco","Laghzaoui E.-M., Laboratory of Water, Biodiversity and Climatic Change, Faculty of Sciences, Cadi Ayyad University, Semlalia, Marrakech, Morocco; Amahmid O., Laboratory of Water, Biodiversity and Climatic Change, Faculty of Sciences, Cadi Ayyad University, Semlalia, Marrakech, Morocco, Department of Life and Earth Sciences, Biology and Geology Research Units, Regional Centre for Careers in Education and Training CRMEF-Marrakech, Marrakech, 40 000, Morocco; Abbad A., Laboratory of Microbial Biotechnologies, Agrosciences and Environment, Faculty of Sciences Semlalia, Cadi Ayyad University, Marrakech, Morocco; El Mouden E.H., Laboratory of Water, Biodiversity and Climatic Change, Faculty of Sciences, Cadi Ayyad University, Semlalia, Marrakech, Morocco","arid area; Ascarid; Balantidiidae; Eimeriidae; Entamoebidae; Overgrazing; Oxyurid","","","Asociacion Herpetologica Espanola","02136686","","","","English","Article","All Open Access; Gold Open Access","Scopus","2-s2.0-85127511035"
"Maliari M.; Azyat A.; Achhab N.B.; Raissouni N.; Chahboun A.","Maliari, M. (57215966020); Azyat, A. (55193626800); Achhab, N.B. (57397237400); Raissouni, N. (6602215636); Chahboun, A. (57222136884)","57215966020; 55193626800; 57397237400; 6602215636; 57222136884","SPATIAL ACCESSIBILITY of URBAN PARKS in TANGIER CITY, MOROCCO","2021","International Archives of the Photogrammetry, Remote Sensing and Spatial Information Sciences - ISPRS Archives","10.5194/isprs-Archives-XLVI-4-W5-2021-369-2021","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122335077&doi=10.5194%2fisprs-Archives-XLVI-4-W5-2021-369-2021&partnerID=40&md5=825a8fdd2e8e3d0fd56cece6dfd6bdd9","Rsgis Lab, Remote Sensing Gis Unit, Tetuan, Morocco","Maliari M., Rsgis Lab, Remote Sensing Gis Unit, Tetuan, Morocco; Azyat A., Rsgis Lab, Remote Sensing Gis Unit, Tetuan, Morocco; Achhab N.B., Rsgis Lab, Remote Sensing Gis Unit, Tetuan, Morocco; Raissouni N., Rsgis Lab, Remote Sensing Gis Unit, Tetuan, Morocco; Chahboun A., Rsgis Lab, Remote Sensing Gis Unit, Tetuan, Morocco","Distribution of Urban Parks; GIS; Green Space; Public Health; Urban Environment.; Urban Parks","Geographic information systems; Urban planning; Case-studies; Distribution of urban park; Green spaces; Public services; Urban environment.; Urban environments; Urban parks; Public health","Karas I.R.; Ben Ahmed M.; Boudhir A.A.; Ane B.K.","International Society for Photogrammetry and Remote Sensing","16821750","","","","English","Conference paper","All Open Access; Gold Open Access","Scopus","2-s2.0-85122335077"
"Filali Baba Y.; Al Mers A.; Faik A.; Bouatem A.","Filali Baba, Yousra (57194346885); Al Mers, Ahmed (14029854300); Faik, Abdessamad (19337071200); Bouatem, Abdelfattah (55810076500)","57194346885; 14029854300; 19337071200; 55810076500","New insight into thermocline packed bed energy storage systems: Fast algorithm for sizing","2021","Journal of Energy Storage","10.1016/j.est.2021.103419","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122617143&doi=10.1016%2fj.est.2021.103419&partnerID=40&md5=bd19003aac5dda0191b70c39429ee94f","3ER Team, Department of Energy, Ecole Nationale Supérieure d'Arts et Métiers de Meknès, Moulay Ismail University, B.P. 15290 El Mansour, Meknès, Morocco; Materials Science, Energy and Nano-engineering department, Mohammed VI Polytechnic University, Lot 660-Hay Moulay Rachid, Ben Guerir, Morocco","Filali Baba Y., 3ER Team, Department of Energy, Ecole Nationale Supérieure d'Arts et Métiers de Meknès, Moulay Ismail University, B.P. 15290 El Mansour, Meknès, Morocco, Materials Science, Energy and Nano-engineering department, Mohammed VI Polytechnic University, Lot 660-Hay Moulay Rachid, Ben Guerir, Morocco; Al Mers A., 3ER Team, Department of Energy, Ecole Nationale Supérieure d'Arts et Métiers de Meknès, Moulay Ismail University, B.P. 15290 El Mansour, Meknès, Morocco; Faik A., Materials Science, Energy and Nano-engineering department, Mohammed VI Polytechnic University, Lot 660-Hay Moulay Rachid, Ben Guerir, Morocco; Bouatem A., 3ER Team, Department of Energy, Ecole Nationale Supérieure d'Arts et Métiers de Meknès, Moulay Ismail University, B.P. 15290 El Mansour, Meknès, Morocco","Characteristic curves; Dual-phase approach; Reduced model; Sizing algorithm; Thermocline energy storage system","Energy storage; Program processors; Stream flow; Characteristic curve; Discretizations; Dual phase; Dual phasis; Dual-phase approach; Fast algorithms; Reduced model; Sizing algorithms; Storage systems; Thermocline energy storage system; Packed beds","","Elsevier Ltd","2352152X","","","","English","Article","","Scopus","2-s2.0-85122617143"
"Allaouzi I.; Benamrou B.; Allaouzi A.; Ouardouz M.; Ben Ahmed M.","Allaouzi, I. (57203269638); Benamrou, B. (57193026840); Allaouzi, A. (57397467600); Ouardouz, M. (57193028150); Ben Ahmed, M. (58726329800)","57203269638; 57193026840; 57397467600; 57193028150; 58726329800","Ai covid: Automatic diagnosis of covid-19 using frontal chest x-ray image","2021","International Archives of the Photogrammetry, Remote Sensing and Spatial Information Sciences - ISPRS Archives","10.5194/isprs-Archives-XLVI-4-W5-2021-57-2021","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122301314&doi=10.5194%2fisprs-Archives-XLVI-4-W5-2021-57-2021&partnerID=40&md5=f82413eb0033716ec292b29122910109","LIST Faculty of Sciences and Techniques, Abdelmalek Essaadi University, Tangier, Morocco; MMC Faculty of Sciences and Techniques, Abdelmalek Essaadi University, Tangier, Morocco; LISAC Faculty of Science Dhar El Mahraz, Sidi Mohamed Ben Abdellah University, Fez, Morocco","Allaouzi I., LIST Faculty of Sciences and Techniques, Abdelmalek Essaadi University, Tangier, Morocco; Benamrou B., MMC Faculty of Sciences and Techniques, Abdelmalek Essaadi University, Tangier, Morocco; Allaouzi A., LISAC Faculty of Science Dhar El Mahraz, Sidi Mohamed Ben Abdellah University, Fez, Morocco; Ouardouz M., MMC Faculty of Sciences and Techniques, Abdelmalek Essaadi University, Tangier, Morocco; Ben Ahmed M., LIST Faculty of Sciences and Techniques, Abdelmalek Essaadi University, Tangier, Morocco","Artificial Intelligence; Chest X-ray; COVID-19; DenseNet-121; SVM; Transfer learning","Diagnosis; Disease control; Diseases; Support vector machines; X ray radiography; Automatic diagnosis; Chest X-ray; Chest X-ray image; Chest x-rays; COVID-19; Densenet-121; Infectious disease; Performance; SVM; Transfer learning; Viruses","Karas I.R.; Ben Ahmed M.; Boudhir A.A.; Ane B.K.","International Society for Photogrammetry and Remote Sensing","16821750","","","","English","Conference paper","All Open Access; Gold Open Access","Scopus","2-s2.0-85122301314"
"Frichi Y.; Kacem A.B.; Jawab F.; Boutahari S.; Kamach O.; Chafik S.","Frichi, Youness (59212243100); Kacem, Abderrahmane Ben (57203637644); Jawab, Fouad (44861244000); Boutahari, Said (54416899800); Kamach, Oualid (12239004000); Chafik, Samir (15050876400)","59212243100; 57203637644; 44861244000; 54416899800; 12239004000; 15050876400","The contribution of reduced COVID-19 test time in controlling the spread of the disease: A simulation-based approach","2021","Journal of Public Health in Africa","10.4081/jphia.2021.1455","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125583136&doi=10.4081%2fjphia.2021.1455&partnerID=40&md5=5d810ab74df14cee77526f08531331e3","Industrial Services and Technologies, High School of Technology, Sidi Mohamed Ben Abdellah University, Fez, 30 000, Morocco; Laboratory of Innovative Technologies, Abdelmalek Essaadi University, Tangier, Morocco; Multidisciplinary Research and, Innovation Laboratory, EMSI, Casablanca, Morocco","Frichi Y., Industrial Services and Technologies, High School of Technology, Sidi Mohamed Ben Abdellah University, Fez, 30 000, Morocco; Kacem A.B., Laboratory of Innovative Technologies, Abdelmalek Essaadi University, Tangier, Morocco; Jawab F., Industrial Services and Technologies, High School of Technology, Sidi Mohamed Ben Abdellah University, Fez, 30 000, Morocco; Boutahari S., Industrial Services and Technologies, High School of Technology, Sidi Mohamed Ben Abdellah University, Fez, 30 000, Morocco; Kamach O., Laboratory of Innovative Technologies, Abdelmalek Essaadi University, Tangier, Morocco; Chafik S., Multidisciplinary Research and, Innovation Laboratory, EMSI, Casablanca, Morocco","COVID-19; Discreteevent simulation; Mathematical model; Simulation; Test time","ambulance; Article; coronavirus disease 2019; COVID-19 testing; disease control; disease transmission; health care; mathematical model; nonhuman; pandemic; physician; testing capacity; virus infection","","Page Press Publications","20389922","","","","English","Article","All Open Access; Gold Open Access","Scopus","2-s2.0-85125583136"
"Hajji R.; Jarar Oulidi H.","Hajji, Rafika (57214068561); Jarar Oulidi, Hassane (57194679033)","57214068561; 57194679033","BIM: A new paradigm","2021","Building Information Modeling for a Smart and Sustainable Urban Space","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148134870&partnerID=40&md5=90fe10c15bfad682571c5c06b91df645","Geomatic Sciences and Topographic Engineering, IAV Hassan II, Rabat, Morocco; Geomatic Sciences, EHTP, Casablanca, Morocco","Hajji R., Geomatic Sciences and Topographic Engineering, IAV Hassan II, Rabat, Morocco; Jarar Oulidi H., Geomatic Sciences, EHTP, Casablanca, Morocco","Architecture and engineering construction; Building information modelling; Business paradigm; Digital models; Methodological dimensions","","","Wiley Blackwell","","978-111988547-4; 978-111988546-7","","","English","Book chapter","","Scopus","2-s2.0-85148134870"
"Hajji R.; Jarar Oulidi H.","Hajji, Rafika (57214068561); Jarar Oulidi, Hassane (57194679033)","57214068561; 57194679033","Introduction","2021","Building Information Modeling for a Smart and Sustainable Urban Space","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148185148&partnerID=40&md5=12a13780fa6ea4ed745b8850a41996c6","Geomatic Sciences and Topographic Engineering, IAV Hassan II, Rabat, Morocco; Geomatic Sciences, EHTP, Casablanca, Morocco","Hajji R., Geomatic Sciences and Topographic Engineering, IAV Hassan II, Rabat, Morocco; Jarar Oulidi H., Geomatic Sciences, EHTP, Casablanca, Morocco","","","","Wiley Blackwell","","978-111988547-4; 978-111988546-7","","","English","Book chapter","","Scopus","2-s2.0-85148185148"
"Servranckx T.; Vanhoucke M.; Aouam T.","Servranckx, Tom (57204173799); Vanhoucke, Mario (6602303040); Aouam, Tarik (24775013100)","57204173799; 6602303040; 24775013100","Practical application of reference class forecasting for cost and time estimations: Identifying the properties of similarity","2021","European Journal of Operational Research","10.1016/j.ejor.2021.03.063","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85108577146&doi=10.1016%2fj.ejor.2021.03.063&partnerID=40&md5=b1ac9b86418b87213e11a0b8be40d863","Faculty of Economics and Business Administration, Ghent University, Tweekerkenstraat 2, Ghent, 9000, Belgium; Operations and Technology Management Centre, Vlerick Business School, Reep 1, Ghent, 9000, Belgium; UCL School of Management, University College London, 1 Canada Square, London, E14 5AA, UK, United Kingdom; International University of Rabat, BearLab, Rabat Business School, Morocco","Servranckx T., Faculty of Economics and Business Administration, Ghent University, Tweekerkenstraat 2, Ghent, 9000, Belgium; Vanhoucke M., Faculty of Economics and Business Administration, Ghent University, Tweekerkenstraat 2, Ghent, 9000, Belgium, Operations and Technology Management Centre, Vlerick Business School, Reep 1, Ghent, 9000, Belgium, UCL School of Management, University College London, 1 Canada Square, London, E14 5AA, UK, United Kingdom; Aouam T., Faculty of Economics and Business Administration, Ghent University, Tweekerkenstraat 2, Ghent, 9000, Belgium, International University of Rabat, BearLab, Rabat Business School, Morocco","Project forecasting; Project management; Project similarity; Real project data; Reference class forecasting","Managers; Project management; Cost estimations; Cost-overruns; Project delays; Project forecasting; Project managers; Project similarities; Property; Real project data; Reference class forecasting; Time estimation; Forecasting","","Elsevier B.V.","03772217","","EJORD","","English","Article","All Open Access; Green Open Access","Scopus","2-s2.0-85108577146"
